勾选	编号	优先级	位置	改动点	原因	是否采纳	备注
☐	L1	建议优先改	列表	增加页面标题 / 面包屑	用户进入后需要明确当前位置	待审	
☐	L2	建议优先改	列表	操作列固定在右侧	表格横向信息多，编辑/删除要始终可见	待审	
☐	L3	建议优先改	列表	规则名称、适用父体、关键数字增强主次	当前扫读效率偏弱	待审	
☐	L4	建议优先改	列表	父体展示改为“前 2 个 + 共 N 个”	避免长编号撑高行高	待审	
☐	L5	建议优先改	列表	采购时效、安全天数等数字右对齐	后台表格更易比较数字	待审	
☐	L6	建议优先改	抽屉	增加分段锚点导航	抽屉内容长，用户容易迷失位置	待审	
☐	L7	建议优先改	抽屉	数字输入框改为短宽度，并标清单位	现在部分数字字段太像长文本	待审	
☐	L8	建议优先改	抽屉	抽屉底部增加固定操作区	滚动到底部时保存/取消更稳定	待审	
☐	L9	建议优先改	交互	关闭抽屉前检测未保存修改	配置类页面避免误关丢数据	待审	
☐	L10	建议优先改	交互	把 alert/confirm 改为页面内提示 / 二次确认弹窗	原生弹窗不符合后台系统质感，也不利于复杂说明	待审	
☐	D1	强烈建议改	抽屉	大段标题下增加轻量子标题层级	现在字段有点“堆表单”，层级不够	待审	
☐	D2	强烈建议改	抽屉	复杂配置段支持折叠	降低首次阅读压力	待审	
☐	D3	强烈建议改	抽屉	「采购时效合计」做成更醒目的汇总模块	这是业务关键判断点	待审	
☐	D4	强烈建议改	抽屉	新增/编辑标题区显示规则状态、规则编号	编辑时需要确认正在改哪条规则	待审	
☐	D5	强烈建议改	父体选择	已被其他规则占用的父体禁选或标记	避免提交后才发现冲突	待审	
☐	D6	强烈建议改	表单校验	改为字段级错误提示	用户能直接知道哪个字段错	待审	
☐	D7	强烈建议改	保存	增加保存中、保存成功、保存失败状态	当前反馈不够产品化	待审	
☐	O1	可以排期优化	列表	筛选区支持收起/展开	后续筛选项变多时更清爽	待审	
☐	O2	可以排期优化	列表	状态支持直接启用/停用切换	比进入编辑抽屉更高效	待审	
☐	O3	可以排期优化	列表	空状态、加载状态、错误状态补齐	提升完整度	待审	
☐	O4	可以排期优化	列表	更新时间/更新人合并展示	减少列数，提升信息密度	待审	
☐	O5	可以排期优化	抽屉	关键字段加简短帮助说明	降低配置误解	待审	
☐	O6	可以排期优化	抽屉	不同段落增加“完成/缺失”状态提示	适合字段很多的规则配置	待审	
☐	O7	可以排期优化	响应式	窄屏下抽屉改为全屏	1120px 抽屉在小屏容易压迫	待审	
☐	O8	可以排期优化	视觉	统一表格、抽屉、弹窗的间距和边框强度	让页面更像成熟 OMS 系统	待审	
